nationality,country
British,UK
American,USA
Italian,Italy
French,France
German,Germany
Brazilian,Brazil
Argentine,Argentina
Belgian,Belgium
South African,South Africa
Swiss,Switzerland
Japanese,Japan
Australian,Australia
Dutch,Netherlands
Austrian,Austria
Spanish,Spain
Canadian,Canada
Swedish,Sweden
Finnish,Finland
New Zealander,New Zealand
Mexican,Mexico
Danish,Denmark
Irish,Ireland
Portuguese,Portugal
Rhodesian,Rhodesia
Uruguayan,Uruguay
Colombian,Colombia
East German,Germany
Monegasque,Monaco
Venezuelan,Venezuela
Indian,India
Russian,Russia
American-Italian,
Argentine-Italian,
Chilean,Chile
Czech,Czech Republic
Hungarian,Hungary
Indonesian,Indonesia
Liechtensteiner,Liechtenstein
Malaysian,Malaysia
Polish,Poland
Thai,Thailand
Azerbaijani,Azerbaijan
Bahraini,Bahrain
Chinese,China
Korean,Korea
Moroccan,Morocco
Singaporean,Singapore
Turkish,Turkey
Emirati,UAE
